============================================================================================
TGM2 表达 vs 药物 IC50 相关性  |  CCLE RNA-seq (log2 RPKM+1) x GDSC1/2 fitted LN_IC50
rho > 0 = TGM2 越高 IC50 越高 = 越耐药（支持课题假设）
============================================================================================

############################################################################################
### PAN-CANCER  |  可评估药物 664 个  |  FDR<0.05 显著 664 个  |  rho>0(耐药方向) 550/664 = 83%
############################################################################################

药物                              n     rho          P        FDR  靶点/通路
Gefitinib                      23   0.373   8.00e-02   9.71e-01  EGFR / EGFR signaling
KIN001-244                     24   0.367   7.78e-02   9.71e-01  PDK1 / Other, kinases
AGI-6780                       22   0.363   9.68e-02   9.71e-01  IDH2 R140Q mutant / Metabolism
PFI-1                          24   0.362   8.24e-02   9.71e-01  BRD4 / Chromatin other
Ipatasertib                    23   0.362   8.99e-02   9.71e-01  AKT1, AKT, AKT3 / PI3K/MTOR signaling
UMI-77                         20   0.359   1.20e-01   9.71e-01  MCL1 / Apoptosis regulation

  --- 反方向（TGM2 高 = 更敏感）Top10 ---
BI-2536                         9  -0.800   9.63e-03   9.71e-01  PLK1, PLK2, PLK3 / Cell cycle
CMK                             9  -0.750   1.99e-02   9.71e-01  RSK2 / Other, kinases
Entinostat                      8  -0.690   5.80e-02   9.71e-01  HDAC1, HDAC3 / Chromatin histone acetylat
WH-4-023                        9  -0.683   4.24e-02   9.71e-01  SRC, LCK / Other, kinases
WZ-1-84                         9  -0.683   4.24e-02   9.71e-01  BMX / Other, kinases
A-770041                        9  -0.617   7.69e-02   9.71e-01  LCK, FYN / Other, kinases
Z-LLNle-CHO                     9  -0.583   9.92e-02   9.71e-01  gamma-secretase / Other
Dasatinib                       9  -0.467   2.05e-01   9.71e-01  ABL, SRC, Ephrins, P / RTK signaling
Eg5_9814                       19  -0.447   5.48e-02   9.71e-01  KSP11 / Other
Entinostat                     22  -0.436   4.23e-02   9.71e-01  HDAC1, HDAC3 / Chromatin histone acetylat

############################################################################################
### PAAD  |  可评估药物 605 个  |  FDR<0.05 显著 0 个  |  rho>0(耐药方向) 429/605 = 71%
############################################################################################

药物                              n     rho          P        FDR  靶点/通路
--------------------------------------------------------------------------------------------
BAY AKT1                       19   0.616   5.00e-03   9.77e-01  AKT1, AKT2, AKT3 / Apoptosis regulation
PFI-3                          22   0.571   5.53e-03   9.77e-01  PB1, SMARCA4, SMARCA / Chromatin other
TW 37                          12   0.552   6.25e-02   9.77e-01  BCL2, BCL-XL, MCL1 / Apoptosis regulation
Idelalisib                     26   0.497   9.84e-03   9.77e-01  PI3Kdelta / PI3K/MTOR signaling
BMS-754807                     24   0.488   1.56e-02   9.77e-01  IGF1R, IR / IGF1R signaling
TAK-715                        25   0.478   1.55e-02   9.77e-01  p38alpha, p38beta / JNK and p38 signaling
BDILV000379a                   22   0.455   3.36e-02   9.77e-01  BAZ2A, BAZ2B / Chromatin histone acetylat
A-366                          26   0.453   2.01e-02   9.77e-01  EHMT1, EHMT2 / Chromatin histone methylat
PLX-4720                       26   0.442   2.38e-02   9.77e-01  BRAF / ERK MAPK signaling
IWP-2                          22   0.441   3.99e-02   9.77e-01  PORCN / WNT signaling
GSK1070916                     23   0.432   3.96e-02   9.77e-01  AURKA, AURKC / Mitosis
HG-5-88-01                      8   0.429   2.89e-01   9.77e-01  TAK1, M4K2 / Other, kinases
SGC-CBP30                      22   0.421   5.12e-02   9.77e-01  EP300, CBP / Chromatin histone acetylat
Bryostatin 1                   26   0.417   3.42e-02   9.77e-01  PKC / Other
XMD11-85h                       8   0.405   3.20e-01   9.77e-01  LRRK2, ERK5 / Other, kinases
QL-VIII-58                      8   0.405   3.20e-01   9.77e-01  MTOR, ATR / Other
GSK269962A                     25   0.404   4.53e-02   9.77e-01  ROCK1, ROCK2 / Cytoskeleton
Voxtalisib                     25   0.400   4.76e-02   9.77e-01  PI3K (class 1), DNAP / PI3K/MTOR signaling
Vorinostat                     26   0.393   4.71e-02   9.77e-01  HDAC inhibitor Class / Chromatin histone acetylat
BMS-345541                     26   0.393   4.71e-02   9.77e-01  IKK1, IKK2 / Other, kinases
Sorafenib                      26   0.392   4.76e-02   9.77e-01  PDGFR, KIT, VEGFR, R / Other, kinases
RO-3306                        26   0.391   4.80e-02   9.77e-01  CDK1 / Cell cycle
Pictilisib                     26   0.389   4.93e-02   9.77e-01  PI3K (class 1) / PI3K/MTOR signaling
ZM447439                       25   0.389   5.45e-02   9.77e-01  AURKA, AURKB / Mitosis
RO-3306                        26   0.383   5.33e-02   9.77e-01  CDK1 / Cell cycle
Picolinici-acid                22   0.382   7.91e-02   9.77e-01  Inflammatory related / Other
FMK                            26   0.378   5.66e-02   9.77e-01  RSK / Other, kinases
Ispinesib Mesylate             26   0.376   5.85e-02   9.77e-01  KSP / Mitosis
BIBR-1532                      26   0.376   5.85e-02   9.77e-01  TERT / Genome integrity
Wnt-C59                        22   0.374   8.61e-02   9.77e-01  PORCN / WNT signaling

  --- 反方向（TGM2 高 = 更敏感）Top10 ---
PARP_9495                      26  -0.478   1.36e-02   9.77e-01  PARP1, PARP2, PARP7 / Genome integrity
Cetuximab                      20  -0.451   4.59e-02   9.77e-01  EGFR / EGFR signaling
Osimertinib                    26  -0.447   2.21e-02   9.77e-01  EGFR / EGFR signaling
Dasatinib                      26  -0.395   4.59e-02   9.77e-01  ABL, SRC, Ephrins, P / Other, kinases
IAP_7638                       26  -0.355   7.56e-02   9.77e-01  IAP / Other
AZD1332                        22  -0.354   1.06e-01   9.77e-01  NTRK1, NTRK2, NTRK3 / RTK signaling
Luminespib                     26  -0.339   8.97e-02   9.77e-01  HSP90 / Protein stability and degr
Temsirolimus                   23  -0.336   1.17e-01   9.77e-01  MTOR / PI3K/MTOR signaling
993-D2                         19  -0.333   1.63e-01   9.77e-01  MKNK1, MKNK2 / Other, kinases
TWS119                         25  -0.319   1.20e-01   9.77e-01  GSK3 / WNT signaling
