================================================================================================
A. CCLE  |  TGM2 (log2 RPKM+1) vs CCLE_NP24 药敏 ActArea/IC50
================================================================================================
[A] TGM2 有值细胞系: 1075
[A] CCLE 药敏: 504 细胞系, 97 个字段

  说明：CCLE 药敏字段含 ActArea(活性面积,越大=越敏感) 与 IC50/EC50。
        对 IC50 类字段 rho>0 = TGM2高更耐药；对 ActArea 类字段 rho<0 = TGM2高更耐药。

  字段                                            n     rho          P        FDR
  Eribulin mesilate_529374                         59  -0.313   1.59e-02   2.81e-02 *
  okadaic acid_516878                              59  -0.309   1.74e-02   3.00e-02 *
  Arsenic trioxide_529128                          59  -0.288   2.69e-02   4.47e-02 *
  Mithramycin_85982                                59  -0.282   3.03e-02   4.96e-02 *
  Denileukin Diftitox Ontak_525769                 59  -0.276   3.45e-02   5.54e-02
  Fenretinide_577595                               59  -0.273   3.66e-02   5.85e-02
  PX-316_530691                                    59  -0.257   4.98e-02   7.81e-02
  Hypothemycin_576295                              59  -0.232   7.71e-02   1.13e-01
  6-Mercaptopurine_538245                          59  -0.211   1.09e-01   1.55e-01
  geldanamycin analog_569254                       59  -0.209   1.12e-01   1.58e-01
  Melphalan_301128                                 59  -0.207   1.15e-01   1.62e-01
  Tanespimycin_574817                              59  -0.196   1.36e-01   1.89e-01
  Methotrexate_67627                               59  -0.190   1.49e-01   2.05e-01
  Pipobroman_86412                                 59  -0.187   1.57e-01   2.16e-01
  Teniposide_416461                                59  -0.183   1.65e-01   2.24e-01
  Fluorouracil_82653                               59  -0.182   1.67e-01   2.25e-01
  Alvespimycin_529444                              59  -0.182   1.68e-01   2.25e-01
  Mithramycin_559313                               59  -0.174   1.88e-01   2.50e-01
  Daunorubicin_301154                              59  -0.168   2.03e-01   2.69e-01
  7-Tert-butyldimethylsilyl-10-hydroxycamptothe    59  -0.162   2.21e-01   2.90e-01
  Daunorubicin_551815                              59  -0.156   2.38e-01   3.11e-01

  --- 临床常用药单独列出 ---
  化合物                                               n     rho          P        FDR  方向
  --------------------------------------------------------------------------------------------
  Paclitaxel_418145                                59  -0.440   4.82e-04   1.15e-03  TGM2高→耐药 *
  Vinblastine_101900                               59  -0.330   1.06e-02   1.89e-02  TGM2高→耐药 *
  Methotrexate_67627                               59  -0.190   1.49e-01   2.05e-01  TGM2高→耐药
  Fluorouracil_82653                               59  -0.182   1.67e-01   2.25e-01  TGM2高→耐药
  Irinotecan_487652                                59  -0.154   2.44e-01   3.15e-01  TGM2高→耐药
  Doxorubicin_301181                               59  -0.131   3.21e-01   3.95e-01  TGM2高→耐药
  Cyclophosphamide_87150                           59  -0.131   3.24e-01   3.97e-01  TGM2高→耐药
