gene,rho_tcga,rho_adj_purity,rho_ccle,p_ccle,n_ccle,fdr_ccle
COLEC12,0.1988904554042403,0.1733497631407695,0.12733957219251338,0.48007168541307754,33,0.8139396965463588
GOLGA7B,0.2680586145916825,0.2341645078634942,0.1270053475935829,0.48123441912594933,33,0.8139396965463588
PRKY,0.1419473594566122,0.1118321915787034,0.12184533865362042,0.4993689633699776,33,0.8343115607522796
CGN,-0.1729854567259928,-0.1016178815946854,0.11998663101604279,0.5059847133181785,33,0.8351795870432585
AEBP1,0.3162334716952029,0.2862032841353076,0.11764705882352942,0.5143738825813196,33,0.8389193084957236
PTHLH,0.2493706630492587,0.1903324640898025,0.11163101604278076,0.5362570253519456,33,0.8444394881922868
CD70,0.2267511644552316,0.1849714464277542,0.10294117647058824,0.5686312610734869,33,0.863089710509306
LTBP1,0.2737986547172448,0.2405752558297566,0.10227272727272728,0.5711578644496516,33,0.863089710509306
GPX8,0.308767569038413,0.2481763516960584,0.09926470588235295,0.5825899413169034,33,0.863089710509306
TUBA3D,0.1938724802096989,0.1307788419920873,0.09258021390374332,0.608350760958039,33,0.8866388750133121
MAOA,0.2347019916149556,0.2064428335661767,0.09057486631016043,0.6161719493705241,33,0.8885848111974928
SPESP1,0.13916315622245,0.1210326965019167,0.08581688728809289,0.6348941686364891,33,0.9060468864916563
MMP9,0.3197088040862121,0.2530665806084283,0.07754010695187166,0.6679919373571094,33,0.9244738153714769
CPZ,0.171234507734431,0.1213967771785781,0.07419569916420657,0.6815463894344465,33,0.9244738153714769
PPP1R14D,0.1319599617384304,0.0831753314973799,0.06901943811069819,0.702717805967533,33,0.9346829069665245
FKBP10,0.354376019270992,0.3355339781570104,0.0603325814757909,0.738738319348299,33,0.936907244270294
C1S,0.4911235146279617,0.4240482683874563,0.05782085561497327,0.7492596843225476,33,0.936907244270294
P4HA3,0.3450008022117507,0.3335620117280688,0.05681818181818182,0.7534723249161992,33,0.936907244270294
HTRA3,0.2192757623235145,0.197131549510177,0.0554812834224599,0.7591000300292163,33,0.936907244270294
WISP2,0.4030291802553262,0.3703985429234672,0.05314171122994653,0.7689776016843931,33,0.9406243877746594
RPS4Y1,0.1169580341587886,0.1154373554152519,0.04846256684491979,0.7888386198299027,33,0.9448378279759421
ATP10A,0.3383940232552244,0.2641211340043456,0.0482994904335279,0.7895332486915563,33,0.9448378279759421
EN2,0.1259529630898723,0.0885224579231831,0.04072756980468919,0.8219527650215745,33,0.9474395881294829
TUBA3E,0.1841848866805595,0.1325695471268132,0.03314366879804117,0.8547159289267077,33,0.9474395881294829
ACTN2,0.1689068586620418,0.1483659053491365,0.03309100036622326,0.8549443620911009,33,0.9474395881294829
NKAIN1,0.3090588490783293,0.3177932919704517,0.030427153037948747,0.8665126734144772,33,0.9474395881294829
RALGPS1,-0.2841752607406128,-0.2970146099773676,0.02974598930481283,0.869475236028857,33,0.9474395881294829
C10orf99,0.2956229880462195,0.2488324053033088,0.029550360123702418,0.8703264033338733,33,0.9474395881294829
