gene,rho,p,n,rho_adj_purity,p_adj_purity,n_purity,rho_adj_fibro,p_adj_fibro,log2FC_axis1,log2FC_axis2,direction_axis1,fdr,fdr_adj_purity,fdr_adj_fibro,rho_ccle,p_ccle,n_ccle
MYH16,0.4013719690533984,2.8160804835564025e-08,178,0.4450310225179511,1.4524717672163161e-08,149,0.3953737369625146,5.139966509549941e-08,1.765645,1.408440625,up_in_TGM2high,8.44824145066921e-08,5.0382614425315967e-08,1.918850407288418e-07,0.4541811846689896,0.0028557042188476,41
P2RY2,0.3988545943363807,3.498423636122847e-08,178,0.4385279556000763,2.4799919643558727e-08,149,0.4090613684821925,1.577167680004711e-08,1.2537383333333318,0.8023714285714281,up_in_TGM2high,1.0219079568674632e-07,8.34179115283339e-08,7.893158520120575e-08,0.3456445993031359,0.0268644796745473,41
VGLL1,0.4185973523422508,6.074844407754111e-09,178,0.4253319612381259,7.099006140089855e-08,149,0.4086495156772028,1.635519332997957e-08,2.364821666666667,1.2167182291666672,up_in_TGM2high,2.408241890216808e-08,2.0736570567104573e-07,7.893158520120575e-08,0.3445993031358886,0.0273599183614655,41
TGFA,0.3805566061674378,1.605753814011518e-07,178,0.4218450093774513,9.30401578128541e-08,149,0.3849700928306675,1.2181769250669522e-07,1.138956666666667,0.5871785714285682,up_in_TGM2high,4.145085426866941e-07,2.4589184564825725e-07,3.976989373012697e-07,0.4719512195121952,0.0018380704693087,41
CGB5,0.3869234567476675,9.548818199266713e-08,178,0.4208814098361234,1.0020747798841308e-07,149,0.3602443123751617,8.429117251092043e-07,2.918088333333333,1.7829344494047614,up_in_TGM2high,2.523616238377631e-07,2.5867511759799653e-07,2.1758884066772484e-06,0.3562717770034844,0.0222367917179265,41
PKD1L2,0.3744663149380716,2.6131006050056985e-07,178,0.4057288910244769,3.1237179914541374e-07,149,0.3172821525223923,1.6852693761793033e-05,1.4774816666666664,0.6363532738095241,up_in_TGM2high,6.420473449651287e-07,7.537667327204549e-07,3.170591538235638e-05,0.4606271777003485,0.0024404505574105,41
C4orf26,0.3893664931074046,7.799317523545683e-08,178,0.4047746485795367,3.349346251386534e-07,149,0.3696046942286259,4.129991660631613e-07,1.1366816666666666,0.6262514880952381,up_in_TGM2high,2.1115225490574899e-07,7.910158168168197e-07,1.1460726858252725e-06,0.3085717881914601,0.0496559720368944,41
KRT80,0.3768275991206247,2.1660843868751447e-07,178,0.3983449119600964,5.328455618114704e-07,149,0.3779450814421078,2.1454625702607435e-07,1.465518333333332,0.8170173363095241,up_in_TGM2high,5.46444015779866e-07,1.1845846951355042e-06,6.43638771078223e-07,0.5231707317073172,0.0004486849284483,41
CGB,0.3688416057199075,4.061285390390532e-07,178,0.3983251966428102,5.335967095204974e-07,149,0.3451827269784409,2.535473503937545e-06,2.772015000000001,1.6942649553571432,up_in_TGM2high,9.200054659864266e-07,1.1845846951355042e-06,5.743623651776888e-06,0.4006538649223466,0.009435656751537,41
SLC16A3,0.3742178261432117,2.6649756535790617e-07,178,0.3860598119874875,1.2596584642455916e-06,149,0.3573175327973049,1.048717891839186e-06,1.062496666666668,0.616678125,up_in_TGM2high,6.420473449651287e-07,2.638152632665296e-06,2.586837466536659e-06,0.4437282229965157,0.0036613136245597,41
SLC2A1,0.31677392654126,1.6474809186806765e-05,178,0.3823045979148103,1.6273633825899045e-06,149,0.3140064136950732,2.079889653257284e-05,0.9851616666666684,0.8386924107142857,up_in_TGM2high,2.6502953909210883e-05,3.284315190317807e-06,3.847795858525975e-05,0.5088850174216029,0.0006799049757365,41
LAMB3,0.3198168796882342,1.3510314420276198e-05,178,0.3811844143614176,1.755491229246687e-06,149,0.3317971597891542,6.438122988814343e-06,1.5462850000000028,1.1192502232142818,up_in_TGM2high,2.2053601480156734e-05,3.4796344008282546e-06,1.3742916379969076e-05,0.3656794425087109,0.0187150011848448,41
ANLN,0.3142886324392587,1.9341709804962545e-05,178,0.3736180158123929,2.907696478439097e-06,149,0.3120782751853542,2.3513811228812342e-05,1.2224649999999997,0.7111514880952363,up_in_TGM2high,3.008462415621184e-05,5.4704120187583015e-06,4.209730719997048e-05,0.456794425087108,0.0026804314090345,41
FOSL1,0.3142375647522313,1.9405285553262176e-05,178,0.3618952833849774,6.199541545965888e-06,149,0.3073374302523751,3.1678965325933254e-05,1.1392049999999987,0.7150004464285722,up_in_TGM2high,3.008462415621184e-05,1.011983987650314e-05,5.494320548716549e-05,0.5839104496152435,6.131926524346477e-05,41
RHOD,0.3257788620204292,9.10204599775047e-06,178,0.3474768968056717,1.5114899531025824e-05,149,0.3650498714908257,5.860594864826576e-07,1.153859999999998,0.6888672619047629,up_in_TGM2high,1.578636102734847e-05,2.3302136776998142e-05,1.5488714999898808e-06,0.4749128919860628,0.0017040075881166,41
ITGB4,0.2773604588008948,0.0001781168619827,178,0.3402293991260975,2.3276254317754517e-05,149,0.3122600154854913,2.3244301473604933e-05,1.162551666666669,0.7854155505952392,up_in_TGM2high,0.0002081154913693,3.444885639027668e-05,4.209730719997048e-05,0.3389520452712087,0.0301692962667947,41
