gene,rho,p,n,rho_adj_purity,p_adj_purity,n_purity,rho_adj_fibro,p_adj_fibro,log2FC_axis1,log2FC_axis2,direction_axis1,fdr,fdr_adj_purity,fdr_adj_fibro
RAB20,0.5320413785132245,7.728023884570753e-15,184,0.5546862767732103,2.7312811383363956e-14,161,0.6181407560280368,1.1373139177568011e-20,1.554811290322581,0.7925278225806469,up_in_TGM2high,2.918558837501928e-13,2.1372274907482296e-12,4.555517698092193e-19
STS,0.5318567027493357,7.925798759989262e-15,184,0.48644783215263315,6.958798524237184e-11,161,0.5642384251975148,8.964817959641794e-17,1.6229354838709673,0.7172278897849456,up_in_TGM2high,2.918558837501928e-13,1.0624897258957262e-09,9.845572004799584e-16
CFI,0.5306351255032652,9.364160106595023e-15,184,0.4267340143532647,1.8346735614839465e-08,161,0.534486736950455,6.551388347812023e-15,1.997496774193548,0.7982613575268829,up_in_TGM2high,3.256646792626936e-13,9.570880412407921e-08,4.1011691057303265e-14
GRAMD1B,0.528132765695132,1.3149950025733437e-14,184,0.5112740550040956,4.899937267936362e-12,161,0.5805724224338461,7.034850156726202e-18,2.851748387096774,1.1271485215053758,up_in_TGM2high,4.332562482162701e-13,1.179754126818524e-10,1.1009540495276505e-16
KIF21B,0.5264067346034559,1.6593117046738184e-14,184,0.5225931921829435,1.358743956492938e-12,161,0.5973971688252641,4.388150276706881e-19,1.7266887096774202,0.9554116935483884,up_in_TGM2high,5.193645635629052e-13,4.7254095375809953e-11,9.81065026149467e-18
PRKCG,0.5258709341704393,1.7830584100340116e-14,184,0.5179958556734949,2.3007610507574496e-12,161,0.5662816461941893,6.570605353939042e-17,3.0471032258064508,1.1390967069892466,up_in_TGM2high,5.315212212768054e-13,7.201382088870818e-11,7.617035095492296e-16
ACSL5,0.5249561749918129,2.015439910947328e-14,184,0.508589494603066,6.596600378247529e-12,161,0.6825269782932132,1.9486452129973595e-26,3.110953225806456,1.3773509408602145,up_in_TGM2high,5.734842655695578e-13,1.4748113702796263e-10,6.099259516681735e-24
ALDH3B1,0.5204311224981217,3.674680685499514e-14,184,0.5079821598033626,7.053058429800135e-12,161,0.6241434475372264,3.754761272697941e-21,2.278135483870968,1.1256438172043008,up_in_TGM2high,1.0001522213576938e-12,1.5224877851913397e-10,2.350480556708911e-19
HSH2D,0.5176147637302306,5.316526204828848e-14,184,0.49406807786799345,3.1523541930397773e-11,161,0.6321123251200313,8.304587372056396e-22,2.071069354838708,0.8673532258064514,up_in_TGM2high,1.3867272517595246e-12,5.638210642408287e-10,6.498339618634131e-20
GNA14,0.512695051480021,1.0053397359118712e-13,184,0.44044451688490305,5.600612414571676e-09,161,0.5756289000575863,1.5426574310892022e-17,2.1248645161290325,1.0563245295698929,up_in_TGM2high,2.4205487487724283e-12,3.769874593034268e-08,2.054688408216682e-16
C4BPB,0.5095572160263564,1.5013300539672107e-13,184,0.5089400082506718,6.346350963682522e-12,161,0.6218964469521354,5.7011619345655886e-21,4.378796774193548,2.141245497311828,up_in_TGM2high,3.480861532531385e-12,1.471413223431577e-10,2.7453287469523526e-19
ANKRD58,0.5086554432854143,1.6834468235515664e-13,184,0.47999302905397007,1.3405580480595592e-10,161,0.55446631254203,3.8479691231767346e-16,1.2554161290322576,0.6295642473118281,up_in_TGM2high,3.763706112654574e-12,1.7855092299686894e-09,3.823537573188311e-15
PTPRN2,0.5053052339581207,2.568341318113451e-13,184,0.45464022687237243,1.5489950264357773e-09,161,0.5424980334469373,2.150190286762106e-15,2.7191064516129027,1.1086543010752674,up_in_TGM2high,5.359272217130067e-12,1.2431678032676878e-08,1.6024037137060458e-14
ABCC6P1,0.503487503043216,3.223699585201659e-13,184,0.5214664544223641,1.547088268388357e-12,161,0.6036354333319486,1.504256179954917e-19,2.590624193548388,1.4556358870967738,up_in_TGM2high,6.50979335592335e-12,5.0972487158479553e-11,4.280292584780809e-18
SPATA13,0.5029377203290246,3.4521732196625294e-13,184,0.5396382383514651,1.796233540137898e-13,161,0.5596582888737192,1.7851106075710834e-16,1.8562919354838725,0.8233008736559135,up_in_TGM2high,6.753313860964823e-12,8.649555354817879e-12,1.926688345412928e-15
LRRC2,0.5018281784000261,3.962291299431791e-13,184,0.4659578755577438,5.325322044188598e-10,161,0.5455782190371038,1.3899485912343203e-15,2.041485483870968,1.406546034946237,up_in_TGM2high,7.516346525588791e-12,5.2088306244719724e-09,1.1155228437342109e-14
C6orf123,0.4996071991764701,5.213255595988397e-13,184,0.49724707461883966,2.2523853602176114e-11,161,0.5780851946616551,1.0460397227226118e-17,1.791506451612904,0.9143923387096772,up_in_TGM2high,9.598523538496285e-12,4.272706774230984e-10,1.522839224242686e-16
FAM47E,0.495292180507166,8.834413431085382e-13,184,0.5408320356104355,1.5522022124071117e-13,161,0.567641402006958,5.336896734056504e-17,2.1236887096774195,0.9931098790322586,up_in_TGM2high,1.5800979451026998e-11,8.097321541390433e-12,6.424802606768023e-16
