gene,rho,p,n,rho_adj_purity,p_adj_purity,n_purity,rho_adj_fibro,p_adj_fibro,log2FC_axis1,log2FC_axis2,direction_axis1,fdr,fdr_adj_purity,fdr_adj_fibro
WNT7B,0.5031986458551656,8.155101910693905e-13,178,0.5433128234173207,9.694722058628322e-13,149,0.5034571179840068,9.174233809439703e-13,1.8535216666666685,0.6949755208333368,up_in_TGM2high,6.963202400669411e-12,8.967617904231197e-12,1.6972332547463452e-11
MFI2,0.48695512477817704,5.488254288333121e-12,178,0.5136141175443119,2.46184492664527e-11,149,0.4683555672261084,4.903240624624648e-11,1.8103983333333336,0.8318562499999995,up_in_TGM2high,4.0613081733665095e-11,1.707904917860156e-10,3.6283980622222395e-10
EMP1,0.4812898002348732,1.0425900946930312e-11,178,0.5007650688596939,9.080448184178119e-11,149,0.40027974062469096,3.386199928943366e-08,1.3445983333333356,0.5903301339285694,up_in_TGM2high,7.071848120741771e-11,5.083759962928836e-10,1.3921044152322726e-07
MET,0.4809501568735511,1.0830758383118027e-11,178,0.5577227178725338,1.7939706505918533e-13,149,0.48468770912883286,8.145599940757102e-12,1.3852616666666684,0.7395866071428578,up_in_TGM2high,7.071848120741771e-11,1.9913074221569573e-12,7.534679945200319e-11
CRABP2,0.4763242755569836,1.8121771504496873e-11,178,0.4725296864656842,1.3306009878586716e-09,149,0.4508182039337126,3.040573486094126e-10,1.921334999999997,0.8585934523809513,up_in_TGM2high,1.1175092427773072e-10,6.421596071839676e-09,2.1093978559777997e-09
ITGB6,0.4752209480108681,2.0465647486579265e-11,178,0.5241122404002662,8.132612596204271e-12,149,0.4717972331978908,3.3854401640853125e-11,2.3683466666666675,1.4000976934523788,up_in_TGM2high,1.1956246689527886e-10,6.018133321191161e-11,2.6841704158104974e-10
LAMC2,0.4657205308702332,5.7301367381332394e-11,178,0.5339987013040858,2.766256388703857e-12,149,0.4354453364139293,1.3853193821248988e-09,1.7628483333333342,1.1421139880952325,up_in_TGM2high,3.1802258896639477e-10,2.193246136758058e-11,9.045320671521398e-09
IL11,0.458254005490908,1.2590986980121723e-10,178,0.476552962572323,9.211336327148421e-10,149,0.391514877537643,7.103480632956806e-08,1.796423333333334,0.670975669642857,up_in_TGM2high,6.655235975207197e-10,4.647537874152157e-09,2.464019844556892e-07
C16orf74,0.4450623398150286,4.833687758821615e-10,178,0.4478527213083245,1.1475442110968781e-08,149,0.3952678636202528,5.186082181860589e-08,1.7666499999999985,0.6090497767857146,up_in_TGM2high,2.3327797444747795e-09,4.3923243941983955e-08,1.918850407288418e-07
SCEL,0.4372504783708846,1.0438753569108941e-09,178,0.5093029414815478,3.837878377000538e-11,149,0.3944946070025699,5.535153682316954e-08,2.450885000000004,1.5513889880952387,up_in_TGM2high,4.730045808743927e-09,2.5059088226297627e-10,1.9819421249586511e-07
ITGA2,0.4296973494806523,2.1576340462845195e-09,178,0.49801715581393663,1.1920698927490607e-10,149,0.40424980383739806,2.4037027907644376e-08,1.129419999999998,0.6447654761904769,up_in_TGM2high,9.211437659137757e-09,6.300940861673606e-10,1.0943431304992874e-07
DKK1,0.4282039974603152,2.4854814068561333e-09,178,0.4474209497676758,1.1898422210678307e-08,149,0.3873364845049147,1.0037002393273563e-07,2.656035000000001,1.1530986607142868,up_in_TGM2high,1.0218090228186325e-08,4.402416217950973e-08,3.376082623192016e-07
VGLL1,0.4185973523422508,6.07484440775411e-09,178,0.42533196123812594,7.099006140089854e-08,149,0.4086495156772028,1.635519332997957e-08,2.364821666666667,1.2167182291666672,up_in_TGM2high,2.4082418902168076e-08,2.0736570567104575e-07,7.893158520120575e-08
HMGA2,0.4169519277264765,7.059936117034677e-09,178,0.446191761299673,1.3186277536322285e-08,149,0.39786062423988683,4.163432027447897e-08,2.1799566666666648,1.0726027529761888,up_in_TGM2high,2.6711875136264656e-08,4.721538085586367e-08,1.6505034108811308e-07
CGB7,0.4167065741919998,7.219425712503961e-09,178,0.45910978986557494,4.386486123611694e-09,149,0.4204876631135238,5.643496599881725e-09,2.0560016666666656,1.0162622023809522,up_in_TGM2high,2.6711875136264656e-08,1.872692152772685e-08,3.132140612934357e-08
STRA6,0.41418979518665777,9.069303330551103e-09,178,0.4277857880088329,5.8577605658030866e-08,149,0.35150201769380973,1.6083889439569858e-06,1.5472033333333366,0.6593055803571453,up_in_TGM2high,3.247395708681201e-08,1.8061428411226183e-07,3.7193994329005294e-06
BEAN,0.4044401226050053,2.1564517705841515e-08,178,0.4171674752752957,1.331015860995766e-07,149,0.35921667454605277,9.103374612714155e-07,1.5305166666666672,0.825060788690477,up_in_TGM2high,7.390650665339691e-08,3.3577900129665914e-07,2.2965331409347075e-06
CDH3,0.4040807359283751,2.2252400677715665e-08,178,0.4237042476962131,8.057477682665592e-08,149,0.37292952988242184,3.187997896933325e-07,1.4779000000000035,0.7604655505952369,up_in_TGM2high,7.390650665339691e-08,2.2932821096817454e-07,9.073532475887156e-07
COX6B2,0.403883912446589,2.2638029065004458e-08,178,0.4598902575127268,4.098224540379206e-09,149,0.37982765627774573,1.8459194774611502e-07,1.9390583333333344,0.8474485119047639,up_in_TGM2high,7.390650665339691e-08,1.8196116959283676e-08,5.691585055505213e-07
TNNT1,0.40294963947738305,2.4557933812231575e-08,178,0.4573019653676415,5.1311334578680015e-09,149,0.4015692410282239,3.030988913685829e-08,2.317651666666668,0.9332660714285704,up_in_TGM2high,7.730621246421737e-08,2.1094659771235117e-08,1.2939991131504885e-07
FAM83A,0.40271128304560333,2.5072285123529954e-08,178,0.4696446357883564,1.7271051481670407e-09,149,0.369152640324904,4.276994204298777e-07,2.563951666666667,1.6141447916666678,up_in_TGM2high,7.730621246421737e-08,7.987861310272563e-09,1.1579179431150348e-06
MYH16,0.40137196905339845,2.8160804835564025e-08,178,0.4450310225179511,1.452471767216316e-08,149,0.3953737369625146,5.1399665095499404e-08,1.765645,1.408440625,up_in_TGM2high,8.448241450669209e-08,5.038261442531596e-08,1.918850407288418e-07
