gene,rho_tcga,rho_adj_purity,rho_ccle,p_ccle,n_ccle,fdr_ccle
GJB3,0.2946111772516662,0.3268905035278429,0.26445993031358894,0.09474165588921205,41,0.2534979441359998
TMEM40,0.3099295197413236,0.319571163360036,0.25962711667878435,0.10115905891634489,41,0.2635459692820564
CGB1,0.3127793801057913,0.3538013751466334,0.2472537992875719,0.11910389033332348,41,0.2962713802146021
KLK5,0.298693030881369,0.2987880105935893,0.2468641114982579,0.11970560816751598,41,0.2962713802146021
LAMA3,0.3602103777043125,0.4303081964985022,0.24163763066202099,0.1279984921816605,41,0.30776775907322246
CRABP2,0.4763242755569836,0.4725296864656842,0.2400696864111499,0.13056814021288227,41,0.30776775907322246
CST2,0.2913923771861782,0.3239369098221601,0.23483948649867245,0.1394179795381599,41,0.309215449619119
AREG,0.3972289396326744,0.4227303791591595,0.2341463414634147,0.14062332852490492,41,0.309215449619119
PADI1,0.2416985574417101,0.2711094014994236,0.2320557491289199,0.14430540012914833,41,0.309215449619119
CDK6,0.3317262962023645,0.3762113346956093,0.2306620209059234,0.14679925385958176,41,0.309215449619119
GPR87,0.5161524741637696,0.5442459743637725,0.22752613240418124,0.15252597808957263,41,0.3108947709453655
STRA6,0.4141897951866577,0.4277857880088329,0.2266550522648084,0.1541453399127099,41,0.3108947709453655
LY6D,0.3624442941612146,0.3637695263565165,0.22512633204630164,0.15701756108351791,41,0.3108947709453655
EREG,0.5255052536236852,0.565029446472811,0.21672473867595826,0.17350110708836536,41,0.32069046935619866
SCEL,0.4372504783708846,0.5093029414815478,0.21672473867595826,0.17350110708836536,41,0.32069046935619866
DMBX1,0.2865950909725785,0.3083852232972093,0.20731707317073172,0.193392705000066,41,0.3413372106182943
FOXL1,0.3674607337362716,0.4286408974016489,0.20452961672473874,0.1995838251431762,41,0.3413372106182943
PROM2,0.2555756870997703,0.2921428065938288,0.20435540069686417,0.1999753355137482,41,0.3413372106182943
FAM83A,0.4027112830456033,0.4696446357883564,0.201219512195122,0.2071148476641555,41,0.3475316935381592
KRT17,0.3702120053748741,0.4022365640219073,0.19651567944250875,0.21815422381009406,41,0.3599544692866552
CGB7,0.4167065741919998,0.4591097898655749,0.18940582270458964,0.2356002703372525,41,0.37773654101435317
PSCA,0.2438748033096116,0.3128988065241626,0.18902439024390247,0.23656227821100903,41,0.37773654101435317
KCNN4,0.261571884684907,0.349141614891917,0.18031358885017423,0.25926000607839245,41,0.407408580980331
ANO1,0.3899454107703879,0.4230872972669344,0.16637630662020908,0.2985022373412322,41,0.45083900654612225
AHNAK2,0.3233765529098474,0.3652509743511619,0.16567944250871083,0.30055933769741483,41,0.45083900654612225
KRT16,0.3547678044798245,0.3848430729598547,0.14947735191637634,0.3509347320617857,41,0.5095251065574828
MET,0.4809501568735511,0.5577227178725338,0.14756097560975612,0.3572147630904867,41,0.5095251065574828
ITGA2,0.4296973494806523,0.4980171558139366,0.14634146341463417,0.3612463191667279,41,0.5095251065574828
MUC16,0.573085491338331,0.5992710154592348,0.1439024390243903,0.36939126349376183,41,0.5095251065574828
PADI3,0.3007425302489428,0.27157040495021,0.14355400696864115,0.37056371385998754,41,0.5095251065574828
KRT19,0.2647435416630469,0.3152686693403496,0.1393728222996516,0.3848056662705035,41,0.521859739188765
COX6B2,0.403883912446589,0.4598902575127268,0.1355400696864112,0.39813899967819766,41,0.5326454184883996
DKK1,0.4282039974603152,0.4474209497676758,0.12543554006968644,0.43454695542136357,41,0.5736019811562
ITGB6,0.4752209480108681,0.5241122404002662,0.11951219512195126,0.4567195297611142,41,0.5949372821888198
MFAP5,0.2372487709178033,0.2177804221977759,0.114808362369338,0.4747531901435873,41,0.6103969587560408
GJB4,0.3089965375414902,0.3182177284915907,0.10348432055749131,0.5196640654968914,41,0.6565999159936683
ULBP2,0.281315929181885,0.3467460444077836,0.10191637630662023,0.5260441437701218,41,0.6565999159936683
INHBA,0.2749113363410477,0.254947452827299,0.0986062717770035,0.5396382931151495,41,0.659557913807405
COL7A1,0.3249724181294544,0.3312974692233699,0.09094076655052266,0.5717535047654068,41,0.6902877679484789
CLSPN,0.2932338506419102,0.3169829278927485,0.08222996515679444,0.6092722066278601,41,0.7180708149542637
TRIM29,0.3104597849730498,0.3635293649134913,0.05383275261324043,0.7381679511814319,41,0.8446392374746495
SKIL,0.3141503241202261,0.3371998467730762,0.052961672473867606,0.7422587238413587,41,0.8446392374746495
CDHR3,-0.2652669857335268,-0.2111010096513087,0.048606271777003496,0.7628156210359501,41,0.8581675736654439
IL11,0.458254005490908,0.476552962572323,0.02055749128919861,0.8984855027734608,41,0.9362534496016078
CRCT1,0.2375858402107241,0.2621903422481508,0.018173307573532294,0.9102077548859404,41,0.9362534496016078
KCNK10,-0.4573326588140063,-0.4526279022658921,0.008994869405081643,0.955489041318883,41,0.9652389294956063
WNT7B,0.5031986458551656,0.5433128234173207,-0.0026132404181184675,0.9870625165092993,41,0.9870625165092993
GJB5,0.2559400889649351,0.2403101848120873,-0.01672473867595819,0.917339238498545,41,0.9362534496016078
SLC7A5,0.3739658782376937,0.3866607549779754,-0.020209059233449483,0.9001973615141668,41,0.9362534496016078
CDH3,0.4040807359283751,0.4237042476962131,-0.02857142857142858,0.8592532719338759,41,0.9146889668973518
HMGA2,0.4169519277264765,0.446191761299673,-0.036151400356605405,0.8224487949372841,41,0.8850264206390339
DSG3,0.3113742831743591,0.3225194426062064,-0.039198606271777015,0.8077537007604372,41,0.8787650151130031
FRRS1,0.2490241284182103,0.2762979987832019,-0.04303323319557367,0.7893540876348104,41,0.8682894963982914
SEMA3C,0.5530534753156888,0.5702563178166793,-0.04512195121951221,0.7793784414983166,41,0.8669490529026218
SERPINB5,0.2733529519446629,0.3309226663909364,-0.055923344947735196,0.728379310069173,41,0.8446392374746495
LRRC16B,-0.3440249210312694,-0.3396809423237264,-0.08379790940766552,0.6024416116970904,41,0.7180708149542637
CCDC108,-0.4370413872576592,-0.4262262001109461,-0.10080592702649664,0.5305857907019542,41,0.6565999159936683
GJB2,0.2857290284691716,0.2949605043821282,-0.1609756097560976,0.31468157362229643,41,0.464977250576229
A1CF,-0.3437527428948539,-0.3773911423207113,-0.17122293613559142,0.28444577016130007,41,0.44000205071826104
TTLL6,-0.3048434003225144,-0.3373447484421406,-0.20627177700348434,0.195698289282408,41,0.3413372106182943
NPW,-0.2415151889359191,-0.2575133987208522,-0.21602787456446,0.17492207419429018,41,0.32069046935619866
ANXA2P1,0.2876291719906503,0.3322085745429606,-0.21620209059233453,0.17456605254710425,41,0.32069046935619866
TNNT1,0.402949639477383,0.4573019653676415,-0.23275261324041815,0.14307023848308212,41,0.309215449619119
