gene,rho,p,n,rho_adj_purity,p_adj_purity,n_purity,rho_adj_fibro,p_adj_fibro,log2FC_axis1,log2FC_axis2,direction_axis1,fdr,fdr_adj_purity,fdr_adj_fibro
ARL14,0.38584782535856793,6.331903725024493e-08,184,0.36402297377813103,2.2249740452983738e-06,161,0.48839264118862874,2.323652069283715e-12,2.9314693548387103,1.5642069220430104,up_in_TGM2high,1.896541498500159e-07,5.419586585045844e-06,7.1304225263314e-12
EPCAM,0.24810541118452734,0.0006843251809842533,184,0.3636832648430883,2.2775814782687097e-06,161,0.37310325580847703,1.9744050580356717e-07,0.8266387096774199,0.9102811155914008,up_in_TGM2high,0.0008238222371079664,5.526224827117102e-06,2.686907752892023e-07
RALGPS1,0.3093326167216637,1.931524993322548e-05,184,0.3635922777355433,2.2918713515535864e-06,161,0.4323458771138624,9.858504610557193e-10,0.9412274193548392,0.8680516801075253,up_in_TGM2high,3.0611003691643415e-05,5.539426509932606e-06,1.778508324555851e-09
C17orf28,0.3362755485349926,3.056074090678448e-06,184,0.36280245683502843,2.4195491639578994e-06,161,0.47106622598215486,1.6982146626358088e-11,1.8629435483871009,1.662768615591398,up_in_TGM2high,5.814900853388172e-06,5.825529910144789e-06,4.201906635612713e-11
GPR44,0.41201980891328827,6.2092354770869136e-09,184,0.3625677943505751,2.4587680777205483e-06,161,0.480707259631054,5.692747371032472e-12,1.509998387096775,0.8752586693548388,up_in_TGM2high,2.8792454878936354e-08,5.897275159590281e-06,1.5698942089278975e-11
ONECUT2,0.331283669437912,4.35854360960162e-06,184,0.36250832095334845,2.4688033900713877e-06,161,0.4314239928218925,1.0793513975189605e-09,2.2541129032258045,1.7870272177419375,up_in_TGM2high,8.001314661614705e-06,5.898743977804156e-06,1.930497070991055e-09
KIAA1244,0.28371250794629266,9.51109569583496e-05,184,0.36167214157910355,2.614085327474402e-06,161,0.3825552028480263,9.074241921635039e-08,1.6612532258064503,1.52104939516129,up_in_TGM2high,0.00013085595396907,6.222119448665307e-06,1.2736492024537073e-07
CELF3,0.32725527911381547,5.778362968834977e-06,184,0.36080426827935363,2.773449500260025e-06,161,0.4005626867767839,1.9247744860108683e-08,1.2130548387096771,0.8835036962365589,up_in_TGM2high,1.01894513196921e-05,6.554344673104903e-06,2.9316516502257995e-08
KLHDC7A,0.3949483774567886,2.8887803299330505e-08,184,0.3599427847324063,2.94074348585266e-06,161,0.5086830076316695,1.953711838746939e-13,2.7261032258064524,2.31247251344086,up_in_TGM2high,9.991030312365137e-08,6.92069707572844e-06,7.789959306086521e-13
FAM134B,0.3428040299743792,1.9029616798229864e-06,184,0.3594902624717545,3.0324178986684533e-06,161,0.4065537537707881,1.1253463402681533e-08,1.5498854838709706,1.5656440860215053,up_in_TGM2high,3.781758766886316e-06,7.109713874780718e-06,1.7971092066527144e-08
ASRGL1,0.35902409893856796,5.594212681496434e-07,184,0.35874751249445397,3.1887999324881655e-06,161,0.4507685219959157,1.5211931449627918e-10,1.6193693548387105,1.0531829973118274,up_in_TGM2high,1.3018502374040027e-06,7.448465513946238e-06,3.195526539418482e-10
CA13,0.40674423532584614,1.007842331559583e-08,184,0.35798253842097577,3.357852510670085e-06,161,0.532631016743355,8.444958581149088e-15,1.5121451612903245,1.356832258064518,up_in_TGM2high,4.3212965723034176e-08,7.801001620877994e-06,5.0951701842326455e-14
ZNF91,0.3840631080117894,7.364967191323315e-08,184,0.35795255350877614,3.3646492614010517e-06,161,0.4354259236952817,7.269020804468842e-10,1.5899322580645174,1.0110823252688164,up_in_TGM2high,2.1444044008225094e-07,7.801001620877994e-06,1.3459697955022954e-09
